Date,Open,High,Low,Close,Adj Close,Volume
2018/6/19,105.870003,106.989998,105.760002,106.099998,104.443787,8869500
2018/6/20,107,107.900002,105.809998,107.150002,105.477402,18625900
2018/6/21,107.010002,107.25,105.790001,105.889999,104.237068,7707800
2018/6/22,106.07,106.800003,105.809998,106.339996,104.680038,8959100
2018/6/25,106,106.080002,103.739998,104.449997,102.81955,7995800
2018/6/26,104.459999,104.709999,103.910004,104.260002,102.632523,6550000
2018/6/27,104.5,105.879997,103.480003,103.959999,102.337196,8803300
2018/6/28,103.910004,105.120003,103.68,104.769997,103.134552,6303600
2018/6/29,104.93,105.68,104.650002,104.809998,103.173927,6774000
2018/7/2,104.150002,105.370003,103.900002,105.330002,103.685814,5488900
2018/7/3,105.879997,105.949997,103.5,104.040001,102.415947,2406300
2018/7/5,104.699997,105.599998,104.43,105.339996,103.695656,6202800
2018/7/6,104.5,105.040001,104.040001,104.779999,103.973503,4134500
2018/7/9,105.010002,106.07,104.75,106.019997,105.203957,4725200
2018/7/10,106.25,106.57,104.830002,106.029999,105.213882,4213600
2018/7/11,105.32,109.339996,105.32,108.040001,107.208412,11753800
2018/7/12,108.050003,109.199997,107.82,108.25,107.416794,5931400
2018/7/13,108,110.239998,107.660004,110,109.153328,8188800
2018/7/16,109.82,110.449997,108.769997,110.199997,109.351784,8245900
2018/7/17,110.260002,112.620003,110.089996,110.300003,109.451019,9075900
2018/7/18,110.309998,111.059998,109.650002,110.690002,109.838013,6414100
2018/7/19,111.540001,114.68,111.300003,112.129997,111.26693,17796800
2018/7/20,112.150002,112.199997,110.830002,111.480003,110.621933,11787900
2018/7/23,111.050003,111.209999,110.339996,111.089996,110.234932,5447800
2018/7/24,111.839996,111.889999,110.540001,110.699997,109.847931,5648800
2018/7/25,110.639999,111.419998,109.629997,111.18,110.324242,6756800
2018/7/26,112.150002,114.559998,111.68,113.510002,112.636307,9466400
2018/7/27,114,114.050003,111.919998,112.620003,111.753159,5717000
2018/7/30,112.199997,113.339996,112.050003,112.629997,111.763077,5199300
2018/7/31,112.550003,114.050003,112.360001,113.559998,112.685921,8421200
2018/8/1,113.68,113.830002,112.589996,112.970001,112.100464,6466600
2018/8/2,112.5,113.32,111.68,112.75,111.882156,4027300
2018/8/3,113.199997,114.099998,112.400002,114.089996,113.211838,4747500
2018/8/6,114.660004,116.839996,114.160004,115.940002,115.047607,12715600
2018/8/7,116.57,117.900002,116.239998,116.559998,115.662827,15466900
2018/8/8,115.900002,116.410004,113.900002,113.980003,113.102692,11722900
2018/8/9,114.050003,114.800003,112.809998,114.160004,113.281311,7041500
2018/8/10,113.580002,113.800003,112.400002,112.68,111.812698,5740200
2018/8/13,112.660004,112.839996,111.720001,112.120003,111.257011,6080900
2018/8/14,112.379997,113.190002,111.949997,112.75,111.882156,4326400
2018/8/15,112.18,113.120003,111.470001,112.849998,111.981384,5183200
2018/8/16,113.300003,113.330002,112.400002,112.480003,111.614243,5082500
2018/8/17,112.510002,112.860001,111.889999,112.480003,111.614243,4764500
2018/8/20,112.93,113,111.910004,111.989998,111.128006,5167600
2018/8/21,112.25,113,112,112.389999,111.524925,4770400
2018/8/22,112.440002,112.75,111.940002,111.940002,111.078392,3213000
2018/8/23,111.940002,112.139999,111.529999,112,111.137932,4257400
2018/8/24,111.629997,112.699997,111.440002,111.93,111.068466,5049000
2018/8/27,112.489998,112.889999,112.07,112.330002,111.465393,4767700
2018/8/28,112.57,112.790001,112.199997,112.580002,111.71347,3131600
2018/8/29,112.580002,112.720001,112.019997,112.449997,111.584465,4001500
2018/8/30,112.07,112.419998,111.589996,111.919998,111.058548,3481600
2018/8/31,111.900002,112.279999,111.559998,112.019997,111.157776,4642800
2018/9/4,111.800003,112,110.650002,110.849998,109.99678,6391200
2018/9/5,110.580002,110.82,109.699997,109.870003,109.02433,6388300
2018/9/6,110,110.410004,109.360001,110.260002,109.411324,5267200
2018/9/7,110.080002,111.349998,110.010002,110.970001,110.11586,4754800
2018/9/10,111.440002,111.910004,110.370003,110.68,109.828094,4636500
2018/9/11,110.5,110.610001,109.510002,109.599998,108.756401,5488600
2018/9/12,109.25,110.25,109.18,109.459999,108.617477,5236700
2018/9/13,109.550003,110.720001,109.370003,110.669998,109.818169,5119400
2018/9/14,110.919998,111.25,108.879997,109.260002,108.419022,6012400
2018/9/17,109.580002,109.879997,108.610001,109.360001,108.51825,5592900
2018/9/18,108.889999,109.75,108.230003,109.529999,108.686943,4937800
2018/9/19,109.629997,110.18,109.480003,109.790001,108.944939,5964600
2018/9/20,110.580002,111.949997,109.940002,111.620003,110.760857,7121800
2018/9/21,111.949997,111.980003,110.400002,110.400002,109.550247,25753600
2018/9/24,112.269997,113.139999,111.699997,112.769997,111.902,9232300
2018/9/25,113.309998,114.709999,112.650002,113.629997,112.755379,12169400
2018/9/26,114.010002,116.32,114.010002,115.209999,114.323219,11141500
2018/9/27,115.190002,116.599998,115.099998,116.040001,115.146835,5195300
2018/9/28,115.650002,117.459999,115.349998,116.940002,116.039909,7366800
2018/10/1,117.279999,117.400002,115.68,116.239998,115.345291,8643900
2018/10/2,115.550003,117.699997,115.300003,117.660004,116.754372,6441700
2018/10/3,117.949997,118.099998,116.739998,116.910004,116.010139,6111700
2018/10/4,117,117.169998,115.120003,116.129997,115.236137,6442800
2018/10/5,116,116.580002,114.730003,114.779999,113.89653,5835700
2018/10/8,114.830002,116.160004,114.120003,116.019997,115.126984,5652300
2018/10/9,116.620003,117.769997,116.040001,116.889999,115.990295,6761400
2018/10/10,116.839996,117.230003,112.730003,112.860001,111.99131,9006500
2018/10/11,112.5,113.25,110.32,111.150002,110.294472,10045400
2018/10/12,111.970001,113.269997,111.230003,112.610001,111.743233,5963900
2018/10/15,111.93,114.620003,111.889999,113.440002,112.566849,6628800
2018/10/16,114.339996,116.370003,113.839996,116.190002,115.295685,7619000
2018/10/17,116.099998,117.220001,115.43,117.129997,116.228439,7120600
2018/10/18,116.75,117.129997,115.580002,116.18,115.285759,6056300
2018/10/19,117.419998,119.169998,117.220001,118.900002,117.984825,10431000
2018/10/22,119.050003,119.690002,117.720001,118.269997,117.359665,8406400
2018/10/23,116.949997,118.489998,115.410004,117.849998,116.942902,8607400
2018/10/24,117.059998,117.059998,111.25,111.610001,110.750931,11630500
2018/10/25,112.620003,114.690002,112.120003,114.160004,113.281311,7406900
2018/10/26,112.839996,114.139999,112.099998,113.190002,112.318771,7984700
2018/10/29,114.449997,114.940002,111.959999,113.040001,112.16993,9234100
2018/10/30,113.389999,114.889999,112.410004,114.760002,113.876686,7365400
2018/10/31,116.230003,116.519997,114.68,114.830002,113.946152,9196700
2018/11/1,115.199997,116.279999,114.900002,116.099998,115.206375,6779900
2018/11/2,116.830002,116.949997,114.370003,115.18,114.293457,6377900
2018/11/5,115.739998,116.220001,115.120003,115.449997,114.561371,7920800
2018/11/6,115.739998,116.839996,115.449997,116.709999,115.811676,5036600
2018/11/7,116.57,117.290001,115.160004,117.050003,116.149063,8249800
2018/11/8,117.449997,117.830002,115.209999,116,115.10714,11074800
2018/11/9,118.199997,120.199997,117.18,118,117.091751,16878200
2018/11/12,118,118.459999,116.599998,116.699997,115.80175,9170600
2018/11/13,117.110001,117.779999,116.18,116.849998,115.9506,4650600
2018/11/14,117.440002,118.220001,116.440002,117.120003,116.218521,7109100
2018/11/15,116.489998,117.43,115.699997,117.110001,116.208603,7088700
2018/11/16,116.529999,117.339996,115.989998,116.190002,115.295685,7141900
2018/11/19,116,117.830002,114.790001,115.419998,114.531609,9714600
2018/11/20,113.519997,114.589996,111.519997,111.870003,111.008934,11194600
2018/11/21,112.5,113.989998,112.300003,113.029999,112.160004,7242500
2018/11/23,112.239998,112.790001,111.739998,112.080002,111.217316,3242300
2018/11/26,113.18,113.18,111.919998,112.550003,111.683701,7002400
2018/11/27,113.610001,114.099998,112.410004,113.900002,113.023308,7357500
2018/11/28,114.32,116.300003,114.050003,116.099998,115.206375,9039800
2018/11/29,115.75,117.139999,115.209999,116.610001,115.712448,10834700
2018/11/30,116.839996,117.07,115.059998,115.489998,114.601067,16857800
2018/12/3,116.650002,116.919998,114.910004,115.739998,114.849144,9273300
2018/12/4,115.620003,116.290001,112.660004,112.870003,112.001236,10806700
2018/12/6,112.059998,114.339996,111.160004,114.330002,113.449997,10546200
2018/12/7,113.860001,113.989998,111.610001,111.980003,111.980003,8305500
2018/12/10,111.989998,112.290001,109.529999,111.860001,111.860001,7337500
2018/12/11,112.970001,113.720001,111.43,111.970001,111.970001,6861800
2018/12/12,113,113.980003,112.150002,112.209999,112.209999,7723900
2018/12/13,112.870003,113.599998,112.339996,113.389999,113.389999,6661500
2018/12/14,112.370003,113.919998,112.050003,112.199997,112.199997,7601900
2018/12/17,112.290001,112.889999,110.029999,110.620003,110.620003,7731800
2018/12/18,110.870003,111.080002,108.900002,109.449997,109.449997,6682300
2018/12/19,110,112.129997,108.949997,109.220001,109.220001,9416900
2018/12/20,108.75,109.209999,106.129997,107,107,9387300
2018/12/21,106.470001,108.75,103.860001,104.220001,104.220001,15530600
2018/12/24,103.230003,103.900002,100.349998,100.349998,100.349998,7133000
2018/12/26,100.489998,105.849998,100.379997,105.830002,105.830002,9422800
2018/12/27,104.410004,106.550003,102.800003,106.519997,106.519997,8201400
2018/12/28,107.279999,108.519997,106.190002,107.300003,107.300003,7620500
,,,,,,
